Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
West,Chalky,Barley,500.5797566641985,28.57738782349661,False,True,Rainy,114,3.544663252263154
East,Peaty,Barley,878.6756956489384,18.0969851172334,False,True,Sunny,120,5.714273943330417
East,Clay,Barley,827.0320103941334,19.18452493221099,False,False,Rainy,133,4.977947287520858
East,Sandy,Barley,180.05450858686578,16.814284551072024,True,True,Rainy,128,4.134841915999118
North,Loam,Barley,490.52332485713833,38.49946908449064,True,False,Sunny,109,4.874417182192202
East,Clay,Barley,514.2482923548317,25.002563032533654,True,True,Rainy,126,5.864068262127894
West,Sandy,Barley,795.7449846825466,17.313123472594736,False,False,Rainy,129,4.18001298925142
West,Loam,Barley,928.6423388759742,36.97840965932573,False,True,Cloudy,147,6.385323804694251
North,Sandy,Barley,383.738724476592,26.20266339783685,False,True,Sunny,63,3.3772363435588333
North,Silt,Barley,316.0882156978116,23.47534585000241,True,True,Rainy,80,5.231889725954826
North,Loam,Barley,616.1874717210629,27.233048840433845,True,False,Rainy,112,5.167783654503741
North,Silt,Barley,245.22043850224463,15.91151119082826,True,True,Sunny,139,5.160266639675054
East,Peaty,Barley,481.7959810865565,38.506564697079575,False,True,Sunny,73,5.080481114021861
South,Silt,Barley,948.6590185402756,15.818486206160374,True,True,Rainy,82,8.026273978036587
East,Sandy,Barley,450.1645540199783,36.546863183548055,False,False,Sunny,60,3.5132854523215946
South,Clay,Barley,424.1694268994761,33.382220204469576,False,False,Rainy,141,2.100948250234065
South,Clay,Barley,479.7932811500493,22.26486092955379,True,False,Sunny,121,4.212746004351624
South,Clay,Barley,291.55630664946534,36.07013254604418,True,False,Sunny,112,3.133309693457824
West,Peaty,Barley,533.0393070198103,18.82462572442726,True,False,Rainy,93,4.296578421157581
North,Chalky,Barley,548.6241622234672,22.113074363894604,True,False,Cloudy,143,4.558900432722624
West,Clay,Barley,712.3112111874993,24.99813447238868,True,False,Sunny,64,6.018841421778117
North,Silt,Barley,736.8227091449645,33.55757083278138,True,False,Rainy,80,6.565802546715929
South,Loam,Barley,717.3515250807249,39.01966651233657,True,False,Sunny,91,5.713421887707549
South,Silt,Barley,925.1233369104224,28.781357014175164,True,True,Rainy,115,7.831636717100372
South,Sandy,Barley,677.2834926542412,19.848706184892357,False,False,Cloudy,100,4.167730783757246
West,Loam,Barley,378.2011443235007,23.79798695688004,True,False,Sunny,116,4.298278933695329
West,Silt,Barley,564.9757060214888,17.138654416580177,True,False,Cloudy,77,4.964313540493579
West,Loam,Barley,760.1004623898029,24.11666308639342,False,True,Cloudy,78,4.719990451086565
North,Peaty,Barley,478.4406229003606,32.58249393896547,True,False,Sunny,145,4.997086925098748
West,Peaty,Barley,525.0611576999013,32.88414032317424,False,False,Cloudy,101,3.833517434421088
South,Chalky,Barley,208.11407748362976,16.176577960749935,False,False,Rainy,135,0.8994536586545154
North,Sandy,Barley,176.99860931926816,26.604997002901985,False,True,Cloudy,141,3.117342146497556
West,Loam,Barley,806.8269434247259,37.72518999736026,False,True,Cloudy,86,5.856874739535097
North,Loam,Barley,986.8735287890556,21.13569574498661,False,False,Rainy,146,4.781040204853124
East,Peaty,Barley,548.1855646331231,32.5992471099765,True,True,Cloudy,127,5.966807806269994
West,Peaty,Barley,704.8019106303675,25.697588334388985,True,True,Cloudy,109,7.054662244430127
South,Chalky,Barley,775.9603240449696,31.54949588240527,True,False,Cloudy,82,6.733679152187079
South,Clay,Barley,781.3969588212985,23.283749710774103,False,True,Rainy,147,5.64856907363342
North,Sandy,Barley,665.7084767388736,33.79501400818467,False,False,Cloudy,124,4.540603823249613
South,Loam,Barley,859.0121537752109,38.20248788007129,False,True,Sunny,108,6.10263949796251
East,Loam,Barley,693.6271715955365,36.30478801026307,True,True,Rainy,76,7.499774568353053
North,Chalky,Barley,611.5000464515334,39.74694469138069,True,True,Sunny,66,6.705841396661672
North,Peaty,Barley,783.1691598775288,19.74161872193444,False,True,Sunny,69,4.988215934999938
South,Chalky,Barley,387.6276731570061,16.998712137637547,False,False,Sunny,122,1.5190066565943277
West,Loam,Barley,187.113479033147,17.226871435863053,False,True,Sunny,124,1.3570409066427025
South,Clay,Barley,244.62365743976704,20.21374239863698,True,False,Rainy,69,3.355814022210441
West,Chalky,Barley,473.777759448324,21.43971019330978,False,False,Rainy,122,2.494769783770504
North,Silt,Barley,397.0445285475509,24.32353611770258,False,True,Cloudy,86,2.5083054677125936
North,Silt,Barley,890.5356119046751,15.890633257742564,True,False,Sunny,147,6.16767936477216
North,Sandy,Barley,116.26762679330172,36.76584255928231,True,False,Cloudy,70,2.5255092769828424
East,Loam,Barley,911.8576310406704,39.80769087377159,False,True,Rainy,65,5.42744879135949
South,Sandy,Barley,745.9336392147977,16.7437194051303,True,False,Rainy,131,5.5805457639668585
South,Peaty,Barley,855.9367844677793,19.672844226613453,False,True,Rainy,117,5.995454273585287
North,Peaty,Barley,275.06601332574263,39.99892593597262,False,True,Rainy,148,4.036101316586956
South,Sandy,Barley,165.58568291960967,27.358720038638957,True,True,Rainy,87,3.676344648120189
East,Chalky,Barley,515.9098245547079,15.374911385258372,True,False,Rainy,143,4.030607951462012
South,Silt,Barley,202.53200243685544,24.21313144136204,False,False,Cloudy,139,1.7725964243748558
East,Loam,Barley,266.92287801546183,22.98981288506235,False,True,Sunny,122,3.21865888881989
West,Peaty,Barley,308.8781181880166,21.237356600681423,False,True,Cloudy,83,3.9125219397495776
North,Clay,Barley,668.1904682851467,22.17190106902708,True,False,Cloudy,114,5.581535342275975
East,Loam,Barley,278.47732016443206,26.79638155951819,True,False,Cloudy,85,3.6500376019649057
North,Silt,Barley,806.4363339818609,17.410745813519817,False,False,Cloudy,96,3.991484463787976
South,Chalky,Barley,376.3253586317631,24.39868694349818,False,False,Rainy,100,2.775065515904515
South,Chalky,Barley,860.6784935926391,35.75037564099789,True,False,Rainy,78,5.930935745767005
South,Loam,Barley,249.50108661960388,21.868209135863623,True,False,Rainy,100,3.786353168291449
East,Silt,Barley,177.69518547119702,20.05513504058944,False,False,Rainy,109,0.636496605407451
South,Sandy,Barley,763.697964794063,25.50961388778495,True,False,Cloudy,106,6.41646797249613
North,Sandy,Barley,309.36872010571847,25.850571152271836,False,False,Cloudy,129,1.8241465472919125
East,Silt,Barley,384.5817124662221,35.6893885044563,False,True,Sunny,106,5.070058477677166
South,Sandy,Barley,775.4427256014749,32.2692196287178,False,True,Rainy,89,5.811378034214229
South,Loam,Barley,579.1421944658539,17.03868653091166,False,False,Cloudy,72,3.582411750439124
South,Loam,Barley,885.2953031360032,27.12999034047842,False,False,Sunny,116,4.965511496211858
West,Chalky,Barley,441.1874214045153,22.110736290637227,False,False,Rainy,89,1.72532142565863
South,Chalky,Barley,455.1828559104028,38.38725622352752,False,False,Sunny,112,2.874003222494176
West,Chalky,Barley,302.18497894741427,37.4715535222407,True,True,Sunny,137,4.817476722428361
North,Loam,Barley,680.4953076873346,18.617639676489976,True,True,Cloudy,76,7.48361255547796
East,Peaty,Barley,735.3616036602191,23.67551945760412,True,False,Rainy,99,6.586155001942191
North,Clay,Barley,959.6668337958972,38.28873643600265,True,False,Sunny,137,7.28327685997742
East,Chalky,Barley,962.3574856799944,38.11731603152049,False,True,Sunny,120,5.912395074057127
North,Peaty,Barley,673.1593507883885,34.87241892005291,True,True,Rainy,147,7.3360375377391644
North,Loam,Barley,260.5341377469404,32.94007281284563,False,False,Cloudy,89,1.7775705721941626
South,Clay,Barley,909.4907659110934,21.570246090909357,False,True,Cloudy,148,5.65520888476672
South,Clay,Barley,732.3727732906569,21.99220962890996,False,True,Cloudy,94,5.7037556534539045
East,Sandy,Barley,191.85762247943524,38.328755880015386,False,True,Rainy,73,2.5074245172394867
East,Chalky,Barley,830.5867948879458,16.4476192144595,True,False,Sunny,61,5.527936744086271
West,Clay,Barley,763.4043752899499,17.50452179506954,False,True,Cloudy,134,5.964375314097526
North,Silt,Barley,721.1757141725307,19.041371346341087,False,False,Sunny,69,4.111152649653275
North,Clay,Barley,108.99912033026855,22.55183701848024,True,False,Sunny,90,2.517364919242548
North,Sandy,Barley,143.12670483267468,26.81808836680602,True,True,Sunny,86,4.031855480469952
South,Clay,Barley,588.9996573982945,29.310476867562315,False,False,Sunny,142,3.429907473007824
South,Sandy,Barley,819.6574528741617,29.025276628782063,True,False,Cloudy,66,4.5056774198711445
West,Peaty,Barley,951.8104617618454,19.425526188043367,True,False,Sunny,130,6.494201053361532
South,Loam,Barley,314.0065083270131,31.24042194320369,False,False,Rainy,116,2.4201071575702864
West,Loam,Barley,655.2564689175634,27.6234952009577,True,True,Sunny,63,6.48786372635346
West,Silt,Barley,271.9525706308709,21.419195322111086,True,False,Cloudy,100,3.4209926398742025
East,Clay,Barley,171.5531781818231,34.4263360824674,False,False,Sunny,123,1.4281493813436597
North,Sandy,Barley,335.814495613311,17.00747501052557,False,False,Sunny,148,2.4885155511359147
East,Loam,Barley,611.7367200587048,15.969703566916758,False,True,Rainy,149,4.965171032673017
East,Clay,Barley,908.6920052025488,28.04654129995603,True,False,Sunny,91,6.365734948039554
South,Loam,Barley,996.07182630999,39.87037801616065,False,False,Cloudy,103,6.350751605726788
North,Chalky,Barley,352.553737866496,39.19736656098533,False,False,Sunny,108,2.8408927570767544
South,Loam,Barley,253.64517028393533,31.79850059529979,False,False,Sunny,61,2.7326408721692834
West,Chalky,Barley,698.6726646493443,30.51194708964571,False,False,Rainy,127,4.627581497789785
East,Sandy,Barley,816.9137568005809,28.76654368231909,False,False,Cloudy,60,4.5865249764511145
West,Sandy,Barley,651.128577808716,16.5914590983603,False,False,Sunny,112,3.8981443574396737
West,Peaty,Barley,916.2658884158484,26.62841796455793,True,False,Sunny,62,6.349867665000263
North,Silt,Barley,333.46639501688105,20.78491569317096,False,True,Sunny,102,2.7678855372214284
West,Chalky,Barley,103.68960816734906,28.583446768629276,True,False,Rainy,68,3.0087710209270653
South,Sandy,Barley,335.79990697629603,28.203514248338596,True,True,Cloudy,145,4.621109741626171
West,Silt,Barley,942.2279293261108,21.58661030892739,True,False,Cloudy,79,7.545279769818528
North,Clay,Barley,710.1703899564195,39.87242090349037,False,True,Cloudy,113,6.201423309462096
West,Clay,Barley,633.7212474694389,31.494270882462125,False,True,Cloudy,69,4.928662068934706
North,Silt,Barley,159.65362678724313,30.703557845422974,True,True,Cloudy,80,3.618348960695633
North,Sandy,Barley,210.2577321764125,33.899622469504635,True,False,Cloudy,80,3.418151540058561
East,Clay,Barley,774.6643288045162,39.94878868543054,False,True,Cloudy,128,6.454441541798069
West,Sandy,Barley,470.0002364180609,19.32261920478336,True,False,Rainy,120,4.938462747585657
South,Peaty,Barley,266.302292554226,39.275221378785865,True,True,Sunny,76,5.151066665567835
East,Silt,Barley,136.82298800869518,24.12999354826269,True,False,Cloudy,112,2.512164298750744
East,Peaty,Barley,147.95211580570754,25.712715468938804,True,True,Cloudy,84,3.358276268412891
West,Sandy,Barley,442.2242075011537,30.60990925607837,True,False,Cloudy,79,4.44172447389885
South,Loam,Barley,188.60260124692627,37.47256070315785,False,True,Sunny,141,2.3733942495395466
South,Chalky,Barley,134.7676482578427,18.89876846822348,False,False,Cloudy,130,-0.0892674484830409
South,Sandy,Barley,642.0863797538898,39.86037758896143,False,False,Sunny,144,3.3378525297552395
North,Sandy,Barley,100.18684809014992,32.07995375073395,True,False,Rainy,76,3.200001349922176
East,Sandy,Barley,609.0644003815154,26.40418382837188,True,False,Rainy,101,5.047632901836793
West,Silt,Barley,935.9606015529668,31.14804357763608,False,True,Rainy,111,5.9845938314251335
North,Clay,Barley,725.7739126638295,39.40258544700324,False,False,Rainy,108,4.649737915443324
South,Peaty,Barley,297.936914129245,28.482304645745387,False,False,Rainy,98,2.1266199700153323
West,Peaty,Barley,542.8942266124809,39.421560543160126,False,True,Rainy,145,4.283503175212306
North,Chalky,Barley,261.5615498260471,30.748400332865096,True,False,Cloudy,121,2.1913884141343347
West,Clay,Barley,314.50858385740264,19.25965763151645,True,True,Rainy,71,4.770251132635338
North,Silt,Barley,298.27853725717046,31.37753671210637,True,True,Sunny,67,5.1976896557331695
West,Sandy,Barley,295.1843364565919,26.46036592031751,True,False,Cloudy,148,3.773847269911336
North,Chalky,Barley,736.1167947345759,36.83300625800545,True,True,Sunny,71,7.925308403017621
West,Chalky,Barley,906.672843589054,37.578641148334825,False,True,Sunny,86,6.77457008193676
North,Peaty,Barley,392.8050404137936,21.405684637013657,True,True,Sunny,113,3.94772191505148
North,Loam,Barley,728.1295218256363,30.690121517196708,False,True,Sunny,93,4.342664158364929
East,Sandy,Barley,814.524148015937,33.2563729840922,False,False,Rainy,80,4.690475964860138
South,Clay,Barley,709.2619354454511,24.26941065471086,False,False,Rainy,133,2.626281736310392
West,Sandy,Barley,484.8429069377098,35.28835590285186,True,False,Cloudy,70,5.021479988823742
East,Loam,Barley,490.4586351997917,18.53750387173531,False,False,Cloudy,149,2.7543501174441154
South,Clay,Barley,630.9555061420901,29.21124132504697,True,True,Sunny,109,7.144047658810623
North,Loam,Barley,117.81116840308296,35.42820031059881,True,True,Rainy,61,4.495089237178748
West,Chalky,Barley,976.6258749902448,25.653665155966333,False,False,Sunny,108,5.410264227560124
South,Chalky,Barley,929.2813440665552,19.26649556518105,False,False,Sunny,91,5.2687833359850496
West,Loam,Barley,752.3315633776577,28.579772465058056,True,True,Cloudy,135,8.023890237243346
North,Sandy,Barley,698.801288251183,19.32229422695479,False,True,Rainy,99,5.237086158810381
North,Silt,Barley,228.5794513425919,23.007686507423905,True,True,Cloudy,105,3.777482917353855
East,Sandy,Barley,598.6958801004107,32.681018423895296,False,False,Cloudy,86,5.1519638766504565
East,Clay,Barley,664.4126617869679,39.43353156494588,True,False,Sunny,81,5.477032786449006
South,Chalky,Barley,764.6237916552576,24.95260676766574,False,True,Sunny,65,6.732364192636055
South,Peaty,Barley,940.1110360720378,29.09890844802669,False,False,Cloudy,133,5.627487683118675
East,Clay,Barley,292.48075904150846,35.0566962118218,False,False,Sunny,139,2.6732552757117998
South,Peaty,Barley,257.98353826767266,18.846354742657663,False,False,Rainy,60,1.7171180074062815
South,Sandy,Barley,337.2790873697886,33.1543120796258,True,True,Sunny,100,5.365885193794656
South,Silt,Barley,386.681584145529,35.64542290535702,True,False,Cloudy,109,3.071011709697145
West,Peaty,Barley,201.86613159688855,36.3341291802642,False,False,Sunny,131,2.1280062684920305
South,Sandy,Barley,312.8078575988301,30.007690342023498,True,True,Cloudy,124,4.913427100190776
West,Chalky,Barley,209.15091461306093,19.5279755332526,False,False,Cloudy,123,1.513308974770193
South,Peaty,Barley,636.0181290032,30.15794981096484,True,True,Rainy,119,7.061178393938018
East,Chalky,Barley,561.1051787709404,22.43038151797155,False,False,Sunny,90,3.1255797129917706
North,Chalky,Barley,388.8032600494761,31.558483696099817,True,True,Sunny,95,5.139557561756308
East,Silt,Barley,347.9993356076346,31.00148834358947,True,False,Rainy,64,3.3306494272839946
East,Chalky,Barley,111.1991796442622,35.65902993258256,False,True,Cloudy,82,2.9233956637110383
South,Sandy,Barley,698.15514699482,35.820290656628515,False,False,Rainy,120,4.610447554142221
East,Peaty,Barley,354.996385439072,24.145608155938124,False,True,Sunny,107,3.839238383100781
South,Clay,Barley,462.2829700089789,32.7947248313917,False,True,Cloudy,63,3.3235632920275098
North,Clay,Barley,904.8872454521286,21.8467608205858,False,True,Cloudy,138,6.492463214328449
North,Sandy,Barley,683.277813957125,30.86642387703304,True,False,Sunny,130,5.516020373512878
North,Chalky,Barley,361.89103142202765,25.17132404025415,False,True,Cloudy,110,3.4719127964509107
East,Clay,Barley,896.1046799317998,27.486225787861905,True,True,Rainy,141,7.154470129851766
South,Clay,Barley,492.30492995805736,20.50053020971374,False,False,Cloudy,130,2.9319740981827542
South,Silt,Barley,368.4078075851856,32.40808739031441,True,True,Rainy,111,5.176332085779093
East,Silt,Barley,629.5650218692011,36.24453655419407,True,False,Rainy,64,5.37567132053603
East,Loam,Barley,218.42856631199209,19.406898128319355,True,True,Rainy,103,4.636975251999122
East,Loam,Barley,876.2122279504339,22.993821814457636,True,False,Sunny,134,6.554835041878555
South,Peaty,Barley,470.96002402572367,15.841848176580209,False,True,Rainy,77,3.395728542442571
West,Clay,Barley,928.7906035449116,31.860489393819915,True,False,Rainy,149,7.216238682216932
North,Chalky,Barley,738.8010593515978,37.482763178118034,False,False,Rainy,83,4.952153178279891
East,Loam,Barley,910.984300698334,34.37253063914633,False,True,Sunny,129,7.134578155135042
East,Chalky,Barley,266.0321166485698,38.89485127196174,False,False,Sunny,113,2.614484613979148
West,Peaty,Barley,674.371530051473,39.47589046722162,False,False,Cloudy,113,4.375345158359266
East,Peaty,Barley,432.3228830035706,30.036454234721827,True,False,Cloudy,66,3.789267192233816
West,Sandy,Barley,212.32420660001569,32.24385834648257,True,True,Rainy,87,4.165259978653552
South,Clay,Barley,221.8076250596256,21.26303293354368,True,True,Cloudy,127,3.8697145041029786
East,Peaty,Barley,154.03849239954184,16.318953481795997,False,True,Rainy,62,2.4055704795235395
West,Loam,Barley,180.2348770702304,25.25086720799541,True,False,Rainy,77,3.3390414078195763
East,Silt,Barley,688.9444289101081,27.493450083447904,False,False,Sunny,103,4.313292788942129
South,Loam,Barley,228.37169997535284,39.89055291729501,False,False,Sunny,92,1.816154723973543
East,Loam,Barley,236.8222524237568,39.941933152677365,True,False,Cloudy,111,3.325710344980832
South,Sandy,Barley,176.3968645035854,23.508627708997597,False,True,Cloudy,128,2.152947412386049
West,Sandy,Barley,119.72360564513326,23.99658570801525,True,True,Cloudy,127,3.4349597725718777
South,Silt,Barley,302.70533117314363,37.02380206873351,False,False,Sunny,125,1.2046958856187042
East,Loam,Barley,466.7965671806925,28.94708153898337,False,True,Sunny,146,3.3966444361750883
North,Silt,Barley,849.2983302592786,15.571055529410073,True,False,Cloudy,74,5.603688397972836
North,Loam,Barley,923.8046287106628,17.887891755877405,True,False,Cloudy,79,6.585250298735774
West,Loam,Barley,868.1738578814959,25.331120263510755,False,True,Cloudy,78,6.6906921747795405
East,Loam,Barley,784.249004514287,23.19650758555315,False,False,Sunny,62,4.346372487523012
East,Sandy,Barley,458.50711201512473,36.94405710836684,True,False,Rainy,79,4.495562457418656
North,Sandy,Barley,190.0116861933353,24.839857418233272,True,True,Rainy,130,4.9825860620830325
East,Silt,Barley,520.9479302679256,22.23829306055835,False,True,Rainy,106,4.107028548017131
East,Peaty,Barley,953.9809682821116,17.221161777286955,False,False,Rainy,73,4.829508149235523
West,Chalky,Barley,410.4966655722844,29.634297881850397,False,False,Rainy,116,2.6485164534124417
East,Silt,Barley,148.18651478763965,21.20816967676716,False,True,Cloudy,80,2.611612422360783
South,Peaty,Barley,511.2915749716277,28.435739052427984,False,False,Sunny,92,2.7779271492808832
North,Loam,Barley,877.2541651425184,17.80840224245807,False,False,Sunny,122,4.176170213046381
East,Peaty,Barley,893.0299467202926,25.102264965837406,False,False,Rainy,133,5.174496596112944
South,Sandy,Barley,900.4136118442211,20.36897742200089,True,False,Rainy,107,6.353405587889501
North,Sandy,Barley,383.1032952844824,39.95489102768511,False,True,Sunny,69,2.516990244898391
West,Loam,Barley,235.06887597208205,23.767269048545277,True,False,Cloudy,107,2.2790894622116773
West,Silt,Barley,431.5378835178198,38.07097803443559,False,False,Sunny,116,3.197739606970885
East,Peaty,Barley,806.3021596906851,36.95838435754584,False,False,Rainy,75,5.023067149802261
South,Peaty,Barley,165.27160796588208,35.016914809606945,True,True,Cloudy,105,3.280547243499163
South,Loam,Barley,317.58829177414344,29.81725669252046,False,False,Rainy,101,1.8057136812930723
East,Silt,Barley,603.2114162335552,18.31477375513236,False,True,Sunny,122,5.342395440939034
East,Sandy,Barley,636.1890833945306,19.07349701694061,False,True,Sunny,106,4.396061188137012
North,Silt,Barley,560.1603370172236,16.575617343772006,False,True,Rainy,149,4.493729743736488
North,Peaty,Barley,459.7921435845065,19.68241739129896,True,False,Rainy,124,3.655245817487916
South,Chalky,Barley,988.5003666381824,32.59909147788177,False,True,Cloudy,72,6.276111461488314
West,Peaty,Barley,931.9514390888318,30.211882833071893,False,True,Sunny,119,6.575545256718315
West,Sandy,Barley,425.6910577748208,29.481469733730385,False,False,Sunny,82,2.6612731945936234
East,Chalky,Barley,105.91553666147094,38.529578547056666,True,True,Rainy,88,4.682479855032737
East,Chalky,Barley,727.6117854916913,15.29490572519602,False,False,Sunny,110,2.757757006549525
South,Chalky,Barley,713.5938367083684,21.01593309990261,False,True,Cloudy,123,4.894400645856174
East,Loam,Barley,971.9275228653136,38.48546010761418,False,True,Rainy,136,7.307339061907628
South,Sandy,Barley,315.76644914962066,20.161040349508777,False,True,Cloudy,63,2.706328315237497
North,Silt,Barley,864.7168372771997,36.035213650666606,False,True,Cloudy,135,6.431112439522314
East,Chalky,Barley,979.03616141913,19.35100959544253,False,True,Sunny,84,6.97276039833619
West,Loam,Barley,471.1851071184434,19.031213093520577,False,True,Rainy,108,4.188972548103002
East,Chalky,Barley,674.071104863046,28.734467731000684,True,True,Rainy,76,6.580128697056856
North,Silt,Barley,384.60971722180926,20.46686771388243,False,True,Cloudy,68,4.154733371394796
North,Chalky,Barley,633.6027267541476,32.01571039374387,True,True,Rainy,137,6.943467581376359
West,Silt,Barley,643.2187832824633,15.276285707052848,True,False,Sunny,103,4.852906220623154
South,Sandy,Barley,502.95344249179993,33.741612649342144,True,True,Cloudy,104,5.409569195000386
South,Clay,Barley,817.3620908825005,36.64491711616122,False,True,Cloudy,135,6.738496801981209
West,Silt,Barley,904.9128856299584,18.442803458786496,False,True,Cloudy,108,6.194410643719333
South,Loam,Barley,830.4227857219553,20.053502769836676,False,False,Cloudy,120,4.557398836365049
South,Loam,Barley,639.3537061622309,26.824614585688494,False,False,Rainy,107,2.9679667685205726
North,Silt,Barley,536.8237335714525,22.009595348571736,False,True,Cloudy,107,4.415446967386418
East,Sandy,Barley,918.1335569873228,22.04748786205457,True,True,Sunny,143,7.912398887478008
South,Loam,Barley,308.4082846684766,39.31528713383436,True,False,Sunny,102,4.437829353979071
West,Silt,Barley,788.596778091054,18.32491303462737,True,True,Sunny,141,6.796831152558867
North,Sandy,Barley,923.2258787808576,30.25498240743383,True,True,Sunny,132,8.674768794647042
